,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000083294653,4.207408614032274,4.669203577657796,6.923089584935592,4.8019454452425325,4.346737785216628,4.335538221086739,4.467336223541838
ZINC000103660515,1.455881779022436,2.6788172323631723,5.995528256007618,3.0841744508353974,2.284571053210916,1.3757725847703604,1.7083535187999817
ZINC000062227227,2.130169083980016,3.605538880857661,6.725075548326661,3.726633612623882,3.1727803041628047,2.296130982608569,2.3518297646127366
ZINC000065743123,2.7286088142801206,4.229506136465853,7.305856039477268,3.9930226277856056,3.5518889696543616,2.464611170710802,2.8067370234969196
ZINC000071758443,2.414583083402028,3.7253348399466555,6.451865786425865,3.7133138200031515,3.275209071937314,2.619005279773943,2.6496635502407364
ZINC000071773502,3.4014488114387733,4.519957065377573,6.686604529146257,4.130334691669872,3.947333820062853,3.582431079990059,3.605121788120256
ZINC000118915215,1.2828904007244766,1.260022058315548,4.599632834138174,2.823660108220867,2.176881323534506,1.8473430663214385,1.15976429268832
ZINC000118915223,2.1219775696334913,3.3324603309750285,6.422063648119412,3.129862271030293,2.5097062518069517,1.7929321932567635,2.3561130333562867
ZINC000118915229,1.506717985327067,2.560737548219189,5.480489758898651,2.566987902519928,2.1658934379366612,1.7564680922028224,1.631066225532974
ZINC000004217399,2.0099938687864842,3.4032034687956076,6.394056714628202,3.5394384668214456,3.023185422732473,2.2663144564863287,2.236804542615641
ZINC000004245625,2.8082818264752683,3.4402475785839046,5.825881048184971,3.6921458259334643,3.222485304517299,3.102422637982712,3.0803414695737876
ZINC000334138264,2.4974697712209015,1.9333909879404363,5.0830035074710205,4.551463436653123,3.6341905811654995,3.1841850519692327,2.5147169315466247
ZINC000005116305,5.950185074496669,6.366817903201981,8.27961286562824,4.604802355437301,4.6340537966378905,5.066484548583339,6.129412265219401
ZINC000002586020,3.8339687405837575,5.067259767367722,7.464938387618887,4.885239775874832,4.584530867663167,4.06386147039758,4.064404806939256
ZINC000003784427,2.1399845530748864,3.5262569081761344,6.557004636443967,3.704139677944934,3.112495456045269,2.288959024391497,2.392645080137214
ZINC000005139697,4.065554004939589,4.394276800290878,6.617328044270031,4.622426634029075,4.170639432369672,4.237418484684329,4.313261438589463
ZINC000005161502,3.9090248947642263,4.442909180356555,6.734712725721511,2.4618259195417487,2.514950980222373,2.9204111013173786,4.0374959918487425
ZINC000003860188,4.507254729290828,5.85728294407489,8.56301540878395,5.453060213907253,5.048154013709057,4.360642220278988,4.748511562797043
ZINC000083294652,3.587436253137896,3.9974030031428174,6.148153974277412,4.189192717790607,3.784228342417341,3.8399088933655836,3.8376287869711794
ZINC000100743496,2.993121474446877,4.281502823886586,7.016259508678765,3.839027382410887,3.4618513662802983,2.864701452608252,3.21282338147234
ZINC000064624931,3.4695672727222817,3.353616803478066,5.172638687637437,1.9338392773899895,1.9293719450680842,2.8664680370919395,3.5914150025482754
ZINC000065739999,5.044483945314307,5.573428680271496,7.550318684516911,5.462503370490183,5.0831096205479325,5.08090364228274,5.320592009219465
ZINC000110344463,3.587436253137896,3.9974030031428174,6.148153974277412,4.189192717790607,3.784228342417341,3.8399088933655836,3.8376287869711794
ZINC000071773501,3.4014488114387733,4.519957065377573,6.686604529146257,4.130334691669872,3.947333820062853,3.582431079990059,3.605121788120256
ZINC000118915216,1.2828904007244766,1.260022058315548,4.599632834138174,2.823660108220867,2.176881323534506,1.8473430663214385,1.15976429268832
ZINC000118915224,3.7969285861499342,3.9288312945206494,5.826408907615026,2.3301252515649424,2.2929401054821277,3.0386381086891365,3.952536494806039
ZINC000118915230,1.506717985327067,2.560737548219189,5.480489758898651,2.566987902519928,2.1658934379366612,1.7564680922028224,1.631066225532974
ZINC000022055066,4.546713275435249,4.801187067690968,6.598719269807698,6.292913697239134,5.737286356659416,5.545711428229356,4.802134663877922
ZINC000261494676,2.287293219823508,2.1991401504622416,5.046453091899214,3.6612891762464934,2.8304819962360903,2.7852540887636477,2.5670315054192083
ZINC000261494680,0.9436705605227639,2.414370893115994,5.610663333176043,3.0808492005180583,2.4842684129508807,1.6937922598444548,1.1618022299655495
ZINC000261494689,0.9893379591715584,2.46259153076681,5.943629442347048,3.5631157243349216,2.752911761495518,1.7410120778634148,1.2864241617479486
ZINC000261494693,9.338396719466614,9.196766371009407,10.181921099518467,6.3863710271337215,6.880145031034491,7.8571923640965515,9.39316338137455
ZINC000261494589,3.005028682333681,4.083484601794141,6.5382705621269,2.590899192008543,2.5671558240939647,2.2587381543213008,3.1044937997656086
ZINC000261494619,0.7646650782430204,2.1851521770424833,5.576963236661441,3.1816239496081873,2.422617494325614,1.5220968302929012,1.0258874460680016
ZINC000261494646,6.429207135328091,6.7202866664750305,8.70343271511629,4.664128137840137,4.69462987491323,5.2377992481705675,6.585348803625593
ZINC000261494671,3.113779941963417,4.343502776736714,7.114488287164994,2.930605988006506,2.7705271569342966,2.2428556849586836,3.2271370406175053
ZINC000261494710,2.7233971462105164,4.482691527690505,7.547020516247306,4.775946063260021,4.3543468607541245,3.2348376989572345,2.8223684536140174
ZINC000084397769,5.710614642563963,6.12107572297954,6.9825347531088555,4.545268488379928,4.809539485038733,5.256941562546288,5.893309499666716
ZINC000016951989,2.414583083402028,3.7253348399466555,6.451865786425865,3.7133138200031515,3.275209071937314,2.619005279773943,2.6496635502407364
ZINC000017744683,3.321513725376807,3.878085109576269,5.04144503638034,3.7040040635860354,3.799217528973787,3.8316058005601352,3.419018014236364
ZINC000019890803,6.1044164622464585,5.958426739569034,6.941149124391395,3.7756044141700893,4.163509066183212,5.187074366225299,6.223680759219381
ZINC000021981254,5.20952825056465,5.629696856053322,7.751453979792733,3.7080497451817678,3.796941374327145,4.262438201386042,5.342671104724639
ZINC000261494697,1.506717985327067,2.560737548219189,5.480489758898651,2.566987902519928,2.1658934379366612,1.7564680922028224,1.631066225532974
ZINC000013515302,1.350022632073511,2.865509609144486,6.09896684720566,3.286063604262975,2.706114595927552,1.833482536804942,1.5453689848223264
ZINC000013517187,5.147370596199552,6.309898106381786,8.817391962555977,4.254672617003509,4.421632369737539,4.181442609139105,5.238750033516048
