,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000039716080,113.78734352536813,289.9503871623206,247.1205989092274,29.310111934293385,98.94589798038731,121.03448797582185,121.66104069843729
ZINC000043130413,374.85249098570745,550.9059434862,507.0073694512774,233.87370114414804,359.5263806021466,382.2665876714964,381.76200054216224
ZINC000043170287,34.70840482294665,210.69528313906085,168.33963088047557,107.14557417537746,21.843186203141595,41.75419080484866,44.08854891953879
ZINC000043197676,261.5033865149638,437.7315702183649,394.4933489779269,121.17187722776187,246.4970473662837,268.80184362375627,268.9935639166903
ZINC000198027014,597.7229341586128,773.7710751410148,729.7388509716367,456.75122213390534,582.3994486434395,605.1335822659763,604.5994488230306
ZINC000095627868,460.3412884900815,284.17443634757086,327.7213734059939,600.9581323907792,475.35397361183897,453.1093961314879,452.9557127129427
ZINC000096170459,203.06509722251243,379.1986369478515,335.57473947523613,62.18795031967331,187.82551729667193,210.47341112142175,210.15758246258443
ZINC000000000640,443.3060248442662,619.3550088490197,575.398008917033,302.3288574825941,427.97908508410137,450.7198767947507,450.1975491808952
ZINC000000005617,563.0711646506463,739.0638269082906,694.9343252968972,422.09520563594765,547.7166271204537,570.502010584808,569.867590368428
ZINC000040379938,245.29581176283997,421.31642486041505,377.5188029811976,104.30119214189817,229.93706679816955,252.72514883085847,252.19357885361725
ZINC000043153645,189.44471028219343,365.19537569896676,321.11983209201964,48.91687644206287,173.93982519530852,196.96203988262,195.98433847129155
ZINC000043176569,427.15149105328413,603.3454544080432,559.7574680470757,286.3531051423562,411.98588869758146,434.4959324211737,434.3583144094373
ZINC000043199890,287.4404200133925,463.49507471446657,419.6785943652332,146.45720500987176,272.11219893258635,294.8588797059279,294.37108528104073
ZINC000049757175,62.098664663484605,116.38101285688637,72.1343261695092,201.38949521485515,76.15840628669493,55.671057104929915,53.46092694186524
ZINC000013684256,363.75060113936405,539.8131178842604,495.95496628181087,222.77533540737298,348.4303280901404,371.1591325353606,370.6831042646112
ZINC000013917051,188.6159232316649,364.670297846834,320.87709691760756,47.908653575064704,173.34366775730348,196.0695513696214,195.55938622628915
ZINC000014191207,16.904266193716698,191.2193695960452,148.10029404115522,125.91731194496712,3.177608327400098,24.202405555076915,23.094516987930614
ZINC000017174165,579.1837038072803,755.2651294161303,711.3401757991237,438.2234413937265,563.8816523791554,586.5771039705902,586.128227217077
ZINC000022940637,8.760708166533716,180.93533324506524,137.64380436200682,136.14685493305933,10.628972171711329,15.321193642541829,12.462322082999071
ZINC000169746730,592.3039331103458,768.303410986082,724.182965065949,451.32498030133013,576.9516088165567,599.7306154448055,599.1104495716003
ZINC000026982268,701.9143203117011,877.9735741857966,833.8885231162857,560.9606551385874,686.6086904624926,709.3257457042985,708.7924789969629
ZINC000029134440,240.3749876729857,416.36288529241426,372.52261607493426,99.38033937647032,224.99166494617265,247.81543288832606,247.22279413958452
ZINC000203935153,515.7938437429665,691.7787846258146,647.6582989159672,374.81682414986557,500.4334431326308,523.228130237156,522.58253395766
ZINC000001846076,610.3606487679822,786.3597523782228,742.2223401363797,469.38593603066084,595.0110910607785,617.7886462132395,617.1635985181284
ZINC000003818355,350.9506117689114,527.0274706628313,483.2184557009769,209.98280982468052,335.64185924222454,358.35198046249815,357.91724794949135
ZINC000003819454,576.284877153316,752.3717348490223,708.4444250368266,435.32801178085384,560.9878578214206,583.6787338749308,583.2326855378541
ZINC000003822129,637.4190770940734,813.4894869554511,769.4826506828211,496.4569917914967,622.1123078572917,644.8220714566359,644.3265712609107
ZINC000003934759,225.34124023078607,401.5328507127446,358.0160811140739,84.62223574995159,210.1874146651884,232.71455069437906,232.57134747761103
ZINC000003955689,308.99953065008253,485.2179929663565,441.73542698001654,168.33323013988678,293.89581253000875,316.3400597346799,316.29775441628817
ZINC000003972138,418.6721299189563,594.6125536044218,550.5032054966671,277.6853806144751,403.2775407830846,426.11821291233724,425.41837159030615
ZINC000004213419,556.573616992951,732.5951837956828,688.4753277598107,415.62340976641,541.2494751539629,564.0022577526703,563.4022574903282
ZINC000004214715,471.013959150485,647.0023164708556,602.9580629588429,330.02032246706307,455.64443979167186,478.4406415075165,477.82653474701584
ZINC000149463098,358.84714925566925,534.6258329550807,490.3462151096824,217.94992027956286,343.384247907716,366.33639515839224,365.4101401995697
ZINC000005425464,588.3926794642953,764.4958011965656,720.5923951503349,447.4463796405826,573.1099238823954,595.7811345551593,595.3659630140119
ZINC000003870219,422.60230277463484,598.6872123284041,554.7917305099644,281.64356869712805,407.304942805812,430.00715522630003,429.54867663668887
ZINC000003870431,419.21815014332986,595.3804765219863,551.5998804578002,278.3572704486532,404.01123462823114,426.59976390508996,426.297944356549
ZINC000003915526,113.64266119882977,288.89717375833993,247.16181805065017,40.26142841921053,100.07316919344103,120.47276300165585,122.77104149305906
ZINC000003926620,54.082326002295545,125.57997397464786,81.04918959637286,192.50882516565457,67.60213145259894,48.07421660935647,44.80116717115776
ZINC000003929810,127.62726970175581,302.4220848881073,257.96642912561566,22.46540406486818,111.81890174415483,135.27381350331035,133.3246646767517
ZINC000003943521,474.37542804580323,650.4502822291838,606.5241348059616,333.4105654013501,459.06875174138867,481.77931273055725,481.3046855128399
ZINC000003964449,69.86758401298604,244.47224094206763,200.20770671711438,73.84986321682467,54.15634767338977,77.57589876247246,75.35253777870327
ZINC000004097460,38.36230473889644,214.58192315744927,171.8573983712075,102.84503952975005,24.217134737308623,45.66789680035396,46.88494158370417
